"State","TotalPop","Men","Women","VotingAgeCitizen","MeanCommute","Employed","Hispanic_","White_","Black_","Native_","Asian_","Pacific_","Poverty_","ChildPoverty_","Professional_","Service_","Office_","Construction_","Production_","Drive_","Carpool_","Transit_","Walk_","OtherTransp_","WorkAtHome_","PrivateWork_","PublicWork_","SelfEmployed_","FamilyWork_","Unemployment_","income_weighted"
"Iowa",3118102,0.49646708157719,0.50353291842281,0.738428377262835,19.0400232256674,0.513042228894372,0.0571928051102882,0.865031676321044,0.0334010882261068,0.00276642649919727,0.0227000271318898,0.000864307838550503,0.12361398055612,0.145379144107537,0.348056606230329,0.165917599873256,0.225934558907951,0.0957341998433663,0.164309570373259,0.809149604470925,0.085048853437123,0.01083062709302,0.03415122404591,0.0148696226101648,0.0459551996695426,0.801735478826543,0.13192544695459,0.0644757612162784,0.00183701495332738,0.0419764972409498,30062.5603415154
"Kansas",2903820,0.49795786240194,0.50204213759806,0.71262578258983,19.206567624715,0.489026523682597,0.115326018830368,0.764618674711242,0.056314096603784,0.00661955630858662,0.0276125930670634,0.000578548257123375,0.13011860239271,0.159146916819913,0.371441411657747,0.168084798644544,0.22286023238355,0.0991004952097582,0.138483445943619,0.821561942544648,0.0919781529158143,0.0049992768146786,0.0242642450289619,0.0145584092677921,0.0426696558326618,0.780629653353169,0.157336887272627,0.0600825808762251,0.00195260036779139,0.0490075142398634,29599.4894249644
"Kentucky",4424376,0.492504479727763,0.507495520272237,0.751549823071095,23.3791504835936,0.438061774134929,0.0343625858200117,0.850840434899746,0.078764101423568,0.00182534214994386,0.013391492947254,0.000460403907805304,0.185693304547353,0.245916938343396,0.324183568485138,0.169971991530557,0.2341796899721,0.0962623881876224,0.175417731223567,0.821065840697084,0.0972591389158607,0.0109907024176969,0.0231628143720154,0.0142336456033574,0.0332935085083185,0.795676497657523,0.148384992595566,0.054211938587498,0.00173357779718541,0.0709971304428014,25888.41886956
"Louisiana",4663461,0.489172955450898,0.510827044549102,0.739287409072361,25.3368536990982,0.435564487405384,0.0496826284169633,0.590187416598959,0.31951355441806,0.00531172020094089,0.0172715071488751,0.000250672193892047,0.197728468191328,0.268010175275402,0.319343080171572,0.197678719731976,0.236932612924178,0.119532038543905,0.126532204300626,0.825898190206801,0.0955176852556503,0.0138407933506895,0.0176754989480988,0.0199128930208701,0.0271433598351096,0.791027522262972,0.152299761915024,0.0552347280271026,0.00146350532362123,0.0739980456575063,26204.918734605
"Maine",1330158,0.489445614731483,0.510554385268517,0.793236592946101,23.831634963666,0.495199066577053,0.0153635883857406,0.935905358611533,0.0120730018539151,0.00574894110323736,0.0110062112921924,0.000177422531759385,0.130137923464731,0.166644112955002,0.3608834439217,0.184063848054141,0.231788253726249,0.108926909434819,0.114383404076809,0.784679714740655,0.0980530132510574,0.00608649498781348,0.039823088685705,0.0153515597395197,0.0559835748835853,0.774483933487601,0.137677629274116,0.0866957158472903,0.00112091946971713,0.0541845404831606,29885.503066553
"Maryland",5996079,0.484696248998721,0.515303751001279,0.708580057067293,32.5639708138708,0.507130076171445,0.0956033100964814,0.518553041079012,0.292553850608039,0.00193192918238736,0.061820399631159,0.00041093521282825,0.0993822796530866,0.124231685406413,0.444827361347307,0.175043390855924,0.220217078527484,0.0781107120169698,0.0818218038821703,0.73508187600597,0.09218424240241,0.0893325454851412,0.0245565477039245,0.0140455120754747,0.0448216242647904,0.732470502806918,0.218557160437679,0.0478385958557251,0.001128070527423,0.0626757919633814,39069.983270067
"Massachusetts",6789319,0.485089299825211,0.514910700174789,0.726386401935157,29.1486253677774,0.519296854367868,0.111959240683786,0.729443998728002,0.0668255534907109,0.0013007195567037,0.0624809351276615,0.000248331239112494,0.113673698348833,0.138602413585221,0.444652990970081,0.181022721130057,0.217243437817548,0.06813790897143,0.0889489800081569,0.708657967021435,0.0761753866624915,0.0981646318283174,0.0488325854183608,0.0192066391342048,0.0489698598637065,0.819044737771196,0.121252956297973,0.0583961366375626,0.00128319202559196,0.0613643282927198,39912.7958600602
"Michigan",9925568,0.491717854333374,0.508282145666626,0.749103930374564,24.3773365662248,0.455880610560524,0.0488229993487526,0.754954980913939,0.136946218090491,0.00445385090304152,0.0289959224499797,0.000237366768330034,0.158422067130062,0.205286689890191,0.343474650518741,0.183519069135389,0.229966184303004,0.079959051209966,0.16308285833113,0.818922503981636,0.0907241782032021,0.015950724432093,0.0229979785539729,0.0129877705739359,0.0384507969720222,0.842704417520489,0.105726745310697,0.04981337088215,0.00174115980062803,0.0778358477822126,28937.7768553433
"Minnesota",5490726,0.497535480736063,0.502464519263937,0.730452767083989,23.3911011562952,0.528910566653663,0.051856348322608,0.80762962857735,0.0585643865674594,0.00947524972107514,0.0463576219246781,0.000295042950604346,0.106686438186863,0.135424532202117,0.395482673875914,0.166823294405876,0.22528386956479,0.0813744849041821,0.130995609688045,0.779584339120182,0.0865974736309916,0.0356042170015404,0.0278030628372277,0.0162313690393584,0.0541669717265076,0.826390899855502,0.117618872258423,0.054533407786147,0.00145354184492178,0.0437463096865515,34711.8141207556
"Mississippi",2986220,0.485134049065374,0.514865950934626,0.743685662811179,24.468878077904,0.409155387077978,0.0295648009858617,0.570050766520886,0.374516947847111,0.00420598616310921,0.00963056975038678,0.000190541889077161,0.217940406266116,0.29407377889104,0.306965997146895,0.183062199034231,0.229841404852958,0.109497960632505,0.170696063920274,0.848046024740307,0.0958281707308906,0.0036279979371915,0.0142568196582971,0.0168219354233781,0.0214582314765824,0.760302321999049,0.183258433738974,0.0547843092605367,0.00167636677806726,0.0913469201867244,22499.6988071877
